interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Go,programming,advanced,basic,English,Go advanced English
Data Analysis,data science,intermediate,advanced,English,Data Analysis intermediate English
Natural Language Processing,machine learning,advanced,none,Hindi,Natural Language Processing advanced Hindi
American Literature,literature,intermediate,none,English,American Literature intermediate English
Probability and Statistics,math,intermediate,basic,Hindi,Probability and Statistics intermediate Hindi
Go,programming,advanced,advanced,English,Go advanced English
Data Visualization,data science,beginner,intermediate,English,Data Visualization beginner English
World Wars,history,intermediate,intermediate,Hindi,World Wars intermediate Hindi
World Wars,history,intermediate,basic,Hindi,World Wars intermediate Hindi
Mechanics,physics,intermediate,none,Hindi,Mechanics intermediate Hindi
Physical Chemistry,chemistry,beginner,basic,English,Physical Chemistry beginner English
Indian History,history,advanced,basic,English,Indian History advanced English
Big Data,data science,intermediate,basic,English,Big Data intermediate English
C++,programming,advanced,none,Hindi,C++ advanced Hindi
Physical Chemistry,chemistry,beginner,none,Hindi,Physical Chemistry beginner Hindi
Ruby,programming,beginner,basic,Hindi,Ruby beginner Hindi
Physical Chemistry,chemistry,advanced,advanced,English,Physical Chemistry advanced English
Natural Language Processing,machine learning,beginner,intermediate,Hindi,Natural Language Processing beginner Hindi
Thermodynamics,physics,intermediate,none,Hindi,Thermodynamics intermediate Hindi
Go,programming,beginner,intermediate,Hindi,Go beginner Hindi
Java,programming,advanced,intermediate,English,Java advanced English
R,programming,advanced,basic,Hindi,R advanced Hindi
Physical Chemistry,chemistry,intermediate,basic,English,Physical Chemistry intermediate English
Number Theory,math,advanced,none,English,Number Theory advanced English
Electricity and Magnetism,physics,beginner,intermediate,English,Electricity and Magnetism beginner English
PHP,programming,intermediate,basic,English,PHP intermediate English
Swift,programming,beginner,advanced,Hindi,Swift beginner Hindi
World Literature,literature,beginner,none,English,World Literature beginner English
Geometry,math,intermediate,intermediate,Hindi,Geometry intermediate Hindi
English Literature,literature,advanced,basic,Hindi,English Literature advanced Hindi
World Wars,history,advanced,intermediate,Hindi,World Wars advanced Hindi
Modern Physics,physics,intermediate,intermediate,English,Modern Physics intermediate English
Modern Physics,physics,beginner,basic,English,Modern Physics beginner English
Java,programming,intermediate,intermediate,English,Java intermediate English
American Literature,literature,advanced,none,Hindi,American Literature advanced Hindi
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
R,programming,beginner,none,English,R beginner English
Analytical Chemistry,chemistry,intermediate,none,English,Analytical Chemistry intermediate English
Mechanics,physics,beginner,none,Hindi,Mechanics beginner Hindi
Indian History,history,beginner,intermediate,English,Indian History beginner English
Deep Learning,machine learning,advanced,none,Hindi,Deep Learning advanced Hindi
Analytical Chemistry,chemistry,intermediate,advanced,Hindi,Analytical Chemistry intermediate Hindi
Mechanics,physics,advanced,none,English,Mechanics advanced English
Geometry,math,intermediate,basic,English,Geometry intermediate English
Computer Vision,machine learning,beginner,none,Hindi,Computer Vision beginner Hindi
Data Mining,data science,beginner,none,English,Data Mining beginner English
Java,programming,beginner,none,Hindi,Java beginner Hindi
Poetry,literature,beginner,advanced,English,Poetry beginner English
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
Data Analysis,data science,beginner,advanced,English,Data Analysis beginner English
Inorganic Chemistry,chemistry,beginner,intermediate,English,Inorganic Chemistry beginner English
Ancient History,history,beginner,intermediate,English,Ancient History beginner English
Ruby,programming,beginner,advanced,English,Ruby beginner English
Organic Chemistry,chemistry,advanced,none,English,Organic Chemistry advanced English
Inorganic Chemistry,chemistry,advanced,advanced,English,Inorganic Chemistry advanced English
R,programming,beginner,advanced,Hindi,R beginner Hindi
Number Theory,math,intermediate,advanced,English,Number Theory intermediate English
Data Analysis,data science,advanced,intermediate,English,Data Analysis advanced English
Calculus,math,advanced,intermediate,Hindi,Calculus advanced Hindi
R,programming,beginner,basic,Hindi,R beginner Hindi
Ancient History,history,intermediate,basic,English,Ancient History intermediate English
Ancient History,history,beginner,intermediate,Hindi,Ancient History beginner Hindi
Poetry,literature,beginner,none,Hindi,Poetry beginner Hindi
Data Analysis,data science,intermediate,intermediate,English,Data Analysis intermediate English
Indian History,history,intermediate,advanced,Hindi,Indian History intermediate Hindi
Drama,literature,beginner,none,Hindi,Drama beginner Hindi
Machine Learning Basics,machine learning,beginner,advanced,Hindi,Machine Learning Basics beginner Hindi
Algebra,math,intermediate,basic,English,Algebra intermediate English
Ancient History,history,advanced,advanced,Hindi,Ancient History advanced Hindi
Ancient History,history,intermediate,intermediate,Hindi,Ancient History intermediate Hindi
Data Analysis,data science,beginner,advanced,Hindi,Data Analysis beginner Hindi
PHP,programming,beginner,advanced,English,PHP beginner English
Data Visualization,data science,intermediate,none,Hindi,Data Visualization intermediate Hindi
Modern Physics,physics,intermediate,advanced,English,Modern Physics intermediate English
Ancient History,history,advanced,basic,English,Ancient History advanced English
Optics,physics,advanced,basic,Hindi,Optics advanced Hindi
Probability and Statistics,math,advanced,intermediate,English,Probability and Statistics advanced English
Natural Language Processing,machine learning,beginner,intermediate,Hindi,Natural Language Processing beginner Hindi
Optics,physics,beginner,basic,English,Optics beginner English
Ruby,programming,intermediate,advanced,Hindi,Ruby intermediate Hindi
Swift,programming,advanced,advanced,Hindi,Swift advanced Hindi
Deep Learning,machine learning,intermediate,basic,English,Deep Learning intermediate English
Physical Chemistry,chemistry,intermediate,advanced,English,Physical Chemistry intermediate English
Computer Vision,machine learning,intermediate,basic,English,Computer Vision intermediate English
Optics,physics,advanced,advanced,English,Optics advanced English
Number Theory,math,advanced,intermediate,English,Number Theory advanced English
Inorganic Chemistry,chemistry,beginner,basic,English,Inorganic Chemistry beginner English
English Literature,literature,beginner,none,Hindi,English Literature beginner Hindi
C++,programming,advanced,basic,English,C++ advanced English
Organic Chemistry,chemistry,beginner,basic,English,Organic Chemistry beginner English
Physical Chemistry,chemistry,beginner,intermediate,Hindi,Physical Chemistry beginner Hindi
Big Data,data science,beginner,advanced,English,Big Data beginner English
C++,programming,beginner,advanced,Hindi,C++ beginner Hindi
World Wars,history,intermediate,basic,English,World Wars intermediate English
Physical Chemistry,chemistry,intermediate,none,Hindi,Physical Chemistry intermediate Hindi
World Literature,literature,advanced,intermediate,Hindi,World Literature advanced Hindi
Drama,literature,beginner,none,Hindi,Drama beginner Hindi
Indian History,history,intermediate,basic,Hindi,Indian History intermediate Hindi
Natural Language Processing,machine learning,beginner,basic,Hindi,Natural Language Processing beginner Hindi
Modern History,history,beginner,none,Hindi,Modern History beginner Hindi
Deep Learning,machine learning,advanced,intermediate,English,Deep Learning advanced English
Go,programming,advanced,none,Hindi,Go advanced Hindi
JavaScript,programming,advanced,none,Hindi,JavaScript advanced Hindi
Thermodynamics,physics,intermediate,advanced,Hindi,Thermodynamics intermediate Hindi
World Wars,history,intermediate,none,Hindi,World Wars intermediate Hindi
Optics,physics,intermediate,advanced,English,Optics intermediate English
Optics,physics,intermediate,basic,Hindi,Optics intermediate Hindi
JavaScript,programming,beginner,none,Hindi,JavaScript beginner Hindi
Data Mining,data science,advanced,intermediate,Hindi,Data Mining advanced Hindi
Geometry,math,intermediate,intermediate,Hindi,Geometry intermediate Hindi
English Literature,literature,intermediate,intermediate,Hindi,English Literature intermediate Hindi
JavaScript,programming,intermediate,advanced,Hindi,JavaScript intermediate Hindi
Probability and Statistics,math,intermediate,intermediate,English,Probability and Statistics intermediate English
Electricity and Magnetism,physics,beginner,intermediate,Hindi,Electricity and Magnetism beginner Hindi
Electricity and Magnetism,physics,intermediate,advanced,English,Electricity and Magnetism intermediate English
Natural Language Processing,machine learning,intermediate,basic,Hindi,Natural Language Processing intermediate Hindi
Number Theory,math,advanced,advanced,English,Number Theory advanced English
Indian History,history,intermediate,intermediate,English,Indian History intermediate English
Medieval History,history,intermediate,intermediate,Hindi,Medieval History intermediate Hindi
Calculus,math,advanced,intermediate,English,Calculus advanced English
Medieval History,history,beginner,basic,Hindi,Medieval History beginner Hindi
Thermodynamics,physics,advanced,intermediate,English,Thermodynamics advanced English
Go,programming,advanced,basic,Hindi,Go advanced Hindi
Deep Learning,machine learning,advanced,none,Hindi,Deep Learning advanced Hindi
Big Data,data science,beginner,none,Hindi,Big Data beginner Hindi
Machine Learning Basics,machine learning,intermediate,intermediate,English,Machine Learning Basics intermediate English
Probability and Statistics,math,intermediate,basic,English,Probability and Statistics intermediate English
Go,programming,beginner,intermediate,English,Go beginner English
Electricity and Magnetism,physics,intermediate,intermediate,Hindi,Electricity and Magnetism intermediate Hindi
Analytical Chemistry,chemistry,advanced,none,English,Analytical Chemistry advanced English
English Literature,literature,beginner,none,Hindi,English Literature beginner Hindi
R,programming,intermediate,basic,Hindi,R intermediate Hindi
World Literature,literature,advanced,basic,English,World Literature advanced English
Python,programming,beginner,advanced,Hindi,Python beginner Hindi
Drama,literature,intermediate,basic,Hindi,Drama intermediate Hindi
Number Theory,math,beginner,advanced,English,Number Theory beginner English
Probability and Statistics,math,intermediate,basic,Hindi,Probability and Statistics intermediate Hindi
Calculus,math,advanced,intermediate,English,Calculus advanced English
Calculus,math,intermediate,advanced,Hindi,Calculus intermediate Hindi
Big Data,data science,intermediate,intermediate,Hindi,Big Data intermediate Hindi
Physical Chemistry,chemistry,beginner,basic,Hindi,Physical Chemistry beginner Hindi
PHP,programming,beginner,advanced,Hindi,PHP beginner Hindi
Thermodynamics,physics,intermediate,basic,English,Thermodynamics intermediate English
Optics,physics,intermediate,none,English,Optics intermediate English
Swift,programming,intermediate,intermediate,English,Swift intermediate English
Mechanics,physics,advanced,advanced,Hindi,Mechanics advanced Hindi
Data Analysis,data science,advanced,none,Hindi,Data Analysis advanced Hindi
Analytical Chemistry,chemistry,intermediate,none,English,Analytical Chemistry intermediate English
Optics,physics,intermediate,none,English,Optics intermediate English
Organic Chemistry,chemistry,intermediate,none,Hindi,Organic Chemistry intermediate Hindi
Electricity and Magnetism,physics,advanced,none,English,Electricity and Magnetism advanced English
Natural Language Processing,machine learning,beginner,none,English,Natural Language Processing beginner English
Medieval History,history,intermediate,none,Hindi,Medieval History intermediate Hindi
Swift,programming,intermediate,intermediate,English,Swift intermediate English
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
World Literature,literature,intermediate,none,English,World Literature intermediate English
Modern History,history,intermediate,basic,Hindi,Modern History intermediate Hindi
Modern History,history,beginner,basic,English,Modern History beginner English
R,programming,intermediate,basic,Hindi,R intermediate Hindi
Java,programming,intermediate,basic,Hindi,Java intermediate Hindi
World Literature,literature,intermediate,advanced,Hindi,World Literature intermediate Hindi
Poetry,literature,intermediate,advanced,English,Poetry intermediate English
Machine Learning Basics,machine learning,advanced,advanced,English,Machine Learning Basics advanced English
Ancient History,history,advanced,none,Hindi,Ancient History advanced Hindi
Analytical Chemistry,chemistry,advanced,advanced,Hindi,Analytical Chemistry advanced Hindi
Modern Physics,physics,advanced,advanced,Hindi,Modern Physics advanced Hindi
Optics,physics,advanced,basic,Hindi,Optics advanced Hindi
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
Drama,literature,intermediate,advanced,Hindi,Drama intermediate Hindi
Java,programming,beginner,advanced,Hindi,Java beginner Hindi
C++,programming,beginner,basic,Hindi,C++ beginner Hindi
World Wars,history,intermediate,intermediate,Hindi,World Wars intermediate Hindi
Organic Chemistry,chemistry,beginner,intermediate,Hindi,Organic Chemistry beginner Hindi
Electricity and Magnetism,physics,beginner,intermediate,English,Electricity and Magnetism beginner English
Natural Language Processing,machine learning,intermediate,advanced,Hindi,Natural Language Processing intermediate Hindi
Calculus,math,beginner,advanced,English,Calculus beginner English
Optics,physics,advanced,none,English,Optics advanced English
Data Analysis,data science,intermediate,advanced,Hindi,Data Analysis intermediate Hindi
Thermodynamics,physics,intermediate,advanced,Hindi,Thermodynamics intermediate Hindi
Swift,programming,advanced,none,English,Swift advanced English
Algebra,math,intermediate,intermediate,Hindi,Algebra intermediate Hindi
American Literature,literature,beginner,advanced,English,American Literature beginner English
Ruby,programming,beginner,advanced,Hindi,Ruby beginner Hindi
English Literature,literature,intermediate,basic,Hindi,English Literature intermediate Hindi
Electricity and Magnetism,physics,beginner,advanced,English,Electricity and Magnetism beginner English
Big Data,data science,beginner,intermediate,English,Big Data beginner English
Optics,physics,intermediate,none,Hindi,Optics intermediate Hindi
JavaScript,programming,intermediate,basic,English,JavaScript intermediate English
Algebra,math,beginner,none,English,Algebra beginner English
Medieval History,history,beginner,advanced,Hindi,Medieval History beginner Hindi
Analytical Chemistry,chemistry,intermediate,basic,English,Analytical Chemistry intermediate English
World Wars,history,beginner,advanced,English,World Wars beginner English
PHP,programming,intermediate,basic,Hindi,PHP intermediate Hindi
Electricity and Magnetism,physics,beginner,intermediate,Hindi,Electricity and Magnetism beginner Hindi
PHP,programming,beginner,advanced,Hindi,PHP beginner Hindi
Modern Physics,physics,advanced,advanced,Hindi,Modern Physics advanced Hindi
Probability and Statistics,math,intermediate,advanced,English,Probability and Statistics intermediate English
Calculus,math,intermediate,basic,English,Calculus intermediate English
Optics,physics,advanced,advanced,Hindi,Optics advanced Hindi
Drama,literature,advanced,intermediate,Hindi,Drama advanced Hindi
Deep Learning,machine learning,beginner,intermediate,Hindi,Deep Learning beginner Hindi
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Deep Learning,machine learning,intermediate,intermediate,English,Deep Learning intermediate English
World Wars,history,beginner,advanced,English,World Wars beginner English
Big Data,data science,intermediate,basic,English,Big Data intermediate English
Poetry,literature,advanced,intermediate,Hindi,Poetry advanced Hindi
PHP,programming,beginner,advanced,English,PHP beginner English
Organic Chemistry,chemistry,advanced,intermediate,Hindi,Organic Chemistry advanced Hindi
Physical Chemistry,chemistry,advanced,basic,English,Physical Chemistry advanced English
Optics,physics,advanced,none,English,Optics advanced English
Data Visualization,data science,beginner,intermediate,English,Data Visualization beginner English
World Wars,history,beginner,intermediate,Hindi,World Wars beginner Hindi
Medieval History,history,intermediate,intermediate,English,Medieval History intermediate English
Organic Chemistry,chemistry,advanced,intermediate,Hindi,Organic Chemistry advanced Hindi
American Literature,literature,intermediate,advanced,English,American Literature intermediate English
Ruby,programming,intermediate,intermediate,English,Ruby intermediate English
Probability and Statistics,math,advanced,basic,English,Probability and Statistics advanced English
Thermodynamics,physics,beginner,none,Hindi,Thermodynamics beginner Hindi
Inorganic Chemistry,chemistry,intermediate,basic,Hindi,Inorganic Chemistry intermediate Hindi
Organic Chemistry,chemistry,intermediate,advanced,English,Organic Chemistry intermediate English
Electricity and Magnetism,physics,intermediate,intermediate,English,Electricity and Magnetism intermediate English
Electricity and Magnetism,physics,beginner,advanced,Hindi,Electricity and Magnetism beginner Hindi
Swift,programming,intermediate,intermediate,English,Swift intermediate English
Electricity and Magnetism,physics,advanced,advanced,Hindi,Electricity and Magnetism advanced Hindi
American Literature,literature,beginner,none,Hindi,American Literature beginner Hindi
Poetry,literature,beginner,basic,English,Poetry beginner English
Medieval History,history,beginner,basic,English,Medieval History beginner English
World Wars,history,beginner,intermediate,Hindi,World Wars beginner Hindi
Probability and Statistics,math,beginner,advanced,English,Probability and Statistics beginner English
JavaScript,programming,intermediate,none,English,JavaScript intermediate English
Modern Physics,physics,beginner,advanced,English,Modern Physics beginner English
Big Data,data science,beginner,basic,English,Big Data beginner English
Probability and Statistics,math,advanced,intermediate,Hindi,Probability and Statistics advanced Hindi
Optics,physics,advanced,none,English,Optics advanced English
Thermodynamics,physics,beginner,intermediate,Hindi,Thermodynamics beginner Hindi
Medieval History,history,beginner,none,English,Medieval History beginner English
PHP,programming,advanced,none,Hindi,PHP advanced Hindi
Inorganic Chemistry,chemistry,beginner,advanced,English,Inorganic Chemistry beginner English
Organic Chemistry,chemistry,advanced,advanced,Hindi,Organic Chemistry advanced Hindi
Natural Language Processing,machine learning,intermediate,intermediate,English,Natural Language Processing intermediate English
Drama,literature,advanced,basic,Hindi,Drama advanced Hindi
Geometry,math,intermediate,advanced,English,Geometry intermediate English
American Literature,literature,beginner,none,English,American Literature beginner English
JavaScript,programming,advanced,intermediate,Hindi,JavaScript advanced Hindi
Calculus,math,intermediate,advanced,English,Calculus intermediate English
C++,programming,intermediate,advanced,Hindi,C++ intermediate Hindi
Inorganic Chemistry,chemistry,intermediate,intermediate,English,Inorganic Chemistry intermediate English
Drama,literature,beginner,advanced,English,Drama beginner English
American Literature,literature,intermediate,basic,English,American Literature intermediate English
Mechanics,physics,beginner,none,Hindi,Mechanics beginner Hindi
Go,programming,intermediate,intermediate,Hindi,Go intermediate Hindi
Electricity and Magnetism,physics,intermediate,none,English,Electricity and Magnetism intermediate English
Geometry,math,beginner,none,English,Geometry beginner English
Poetry,literature,intermediate,intermediate,Hindi,Poetry intermediate Hindi
Thermodynamics,physics,beginner,none,English,Thermodynamics beginner English
American Literature,literature,beginner,basic,English,American Literature beginner English
Ruby,programming,advanced,advanced,Hindi,Ruby advanced Hindi
Medieval History,history,intermediate,intermediate,English,Medieval History intermediate English
Drama,literature,beginner,advanced,English,Drama beginner English
Drama,literature,beginner,advanced,English,Drama beginner English
World Literature,literature,advanced,none,English,World Literature advanced English
Computer Vision,machine learning,advanced,basic,English,Computer Vision advanced English
Deep Learning,machine learning,beginner,intermediate,Hindi,Deep Learning beginner Hindi
Python,programming,advanced,advanced,Hindi,Python advanced Hindi
Ruby,programming,beginner,none,English,Ruby beginner English
Natural Language Processing,machine learning,beginner,advanced,English,Natural Language Processing beginner English
Analytical Chemistry,chemistry,advanced,advanced,Hindi,Analytical Chemistry advanced Hindi
R,programming,beginner,intermediate,Hindi,R beginner Hindi
Organic Chemistry,chemistry,intermediate,none,English,Organic Chemistry intermediate English
Organic Chemistry,chemistry,beginner,intermediate,Hindi,Organic Chemistry beginner Hindi
Mechanics,physics,intermediate,basic,Hindi,Mechanics intermediate Hindi
Probability and Statistics,math,beginner,intermediate,Hindi,Probability and Statistics beginner Hindi
Mechanics,physics,beginner,intermediate,English,Mechanics beginner English
Calculus,math,beginner,none,Hindi,Calculus beginner Hindi
Data Analysis,data science,beginner,intermediate,Hindi,Data Analysis beginner Hindi
Geometry,math,beginner,basic,Hindi,Geometry beginner Hindi
Deep Learning,machine learning,beginner,basic,Hindi,Deep Learning beginner Hindi
Mechanics,physics,advanced,basic,English,Mechanics advanced English
World Literature,literature,advanced,advanced,Hindi,World Literature advanced Hindi
Algebra,math,beginner,basic,English,Algebra beginner English
American Literature,literature,advanced,advanced,Hindi,American Literature advanced Hindi
Poetry,literature,intermediate,none,English,Poetry intermediate English
Natural Language Processing,machine learning,advanced,intermediate,English,Natural Language Processing advanced English
Data Analysis,data science,intermediate,none,English,Data Analysis intermediate English
Number Theory,math,beginner,intermediate,Hindi,Number Theory beginner Hindi
American Literature,literature,beginner,basic,English,American Literature beginner English
Mechanics,physics,advanced,none,English,Mechanics advanced English
PHP,programming,beginner,basic,Hindi,PHP beginner Hindi
Probability and Statistics,math,intermediate,advanced,English,Probability and Statistics intermediate English
C++,programming,advanced,none,English,C++ advanced English
Organic Chemistry,chemistry,advanced,advanced,Hindi,Organic Chemistry advanced Hindi
Indian History,history,beginner,advanced,English,Indian History beginner English
Modern History,history,beginner,intermediate,Hindi,Modern History beginner Hindi
English Literature,literature,beginner,none,English,English Literature beginner English
Thermodynamics,physics,advanced,none,Hindi,Thermodynamics advanced Hindi
Mechanics,physics,advanced,intermediate,English,Mechanics advanced English
Number Theory,math,advanced,basic,English,Number Theory advanced English
American Literature,literature,beginner,advanced,Hindi,American Literature beginner Hindi
Natural Language Processing,machine learning,intermediate,none,English,Natural Language Processing intermediate English
JavaScript,programming,beginner,none,Hindi,JavaScript beginner Hindi
R,programming,intermediate,advanced,Hindi,R intermediate Hindi
C++,programming,advanced,none,Hindi,C++ advanced Hindi
Analytical Chemistry,chemistry,advanced,basic,Hindi,Analytical Chemistry advanced Hindi
Algebra,math,intermediate,intermediate,Hindi,Algebra intermediate Hindi
Go,programming,advanced,none,English,Go advanced English
Probability and Statistics,math,intermediate,none,Hindi,Probability and Statistics intermediate Hindi
English Literature,literature,intermediate,advanced,English,English Literature intermediate English
World Wars,history,advanced,basic,Hindi,World Wars advanced Hindi
Mechanics,physics,beginner,none,English,Mechanics beginner English
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
Data Mining,data science,beginner,advanced,Hindi,Data Mining beginner Hindi
Modern Physics,physics,beginner,none,English,Modern Physics beginner English
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Organic Chemistry,chemistry,advanced,intermediate,Hindi,Organic Chemistry advanced Hindi
Modern History,history,beginner,intermediate,Hindi,Modern History beginner Hindi
Optics,physics,intermediate,intermediate,Hindi,Optics intermediate Hindi
Optics,physics,advanced,intermediate,Hindi,Optics advanced Hindi
Python,programming,advanced,advanced,English,Python advanced English
World Wars,history,beginner,intermediate,Hindi,World Wars beginner Hindi
Deep Learning,machine learning,advanced,none,English,Deep Learning advanced English
World Wars,history,intermediate,advanced,Hindi,World Wars intermediate Hindi
Inorganic Chemistry,chemistry,intermediate,intermediate,English,Inorganic Chemistry intermediate English
World Literature,literature,beginner,advanced,Hindi,World Literature beginner Hindi
R,programming,beginner,none,Hindi,R beginner Hindi
Electricity and Magnetism,physics,advanced,advanced,English,Electricity and Magnetism advanced English
Modern History,history,advanced,basic,English,Modern History advanced English
Natural Language Processing,machine learning,intermediate,none,Hindi,Natural Language Processing intermediate Hindi
Deep Learning,machine learning,advanced,advanced,English,Deep Learning advanced English
Data Mining,data science,beginner,basic,Hindi,Data Mining beginner Hindi
Natural Language Processing,machine learning,intermediate,none,English,Natural Language Processing intermediate English
Electricity and Magnetism,physics,intermediate,advanced,Hindi,Electricity and Magnetism intermediate Hindi
Ancient History,history,intermediate,intermediate,English,Ancient History intermediate English
Indian History,history,intermediate,intermediate,English,Indian History intermediate English
Inorganic Chemistry,chemistry,advanced,intermediate,English,Inorganic Chemistry advanced English
Deep Learning,machine learning,beginner,intermediate,Hindi,Deep Learning beginner Hindi
Data Mining,data science,advanced,none,Hindi,Data Mining advanced Hindi
Algebra,math,intermediate,advanced,English,Algebra intermediate English
JavaScript,programming,advanced,none,English,JavaScript advanced English
PHP,programming,beginner,none,English,PHP beginner English
Medieval History,history,advanced,intermediate,Hindi,Medieval History advanced Hindi
C++,programming,advanced,none,English,C++ advanced English
Number Theory,math,advanced,advanced,Hindi,Number Theory advanced Hindi
Ancient History,history,intermediate,none,Hindi,Ancient History intermediate Hindi
C++,programming,intermediate,basic,Hindi,C++ intermediate Hindi
Optics,physics,intermediate,none,Hindi,Optics intermediate Hindi
World Wars,history,intermediate,none,Hindi,World Wars intermediate Hindi
World Wars,history,advanced,basic,Hindi,World Wars advanced Hindi
Analytical Chemistry,chemistry,beginner,advanced,English,Analytical Chemistry beginner English
Probability and Statistics,math,advanced,intermediate,English,Probability and Statistics advanced English
Indian History,history,beginner,none,English,Indian History beginner English
Data Analysis,data science,beginner,none,Hindi,Data Analysis beginner Hindi
Ruby,programming,beginner,advanced,Hindi,Ruby beginner Hindi
PHP,programming,advanced,none,Hindi,PHP advanced Hindi
World Wars,history,intermediate,intermediate,Hindi,World Wars intermediate Hindi
Organic Chemistry,chemistry,beginner,basic,Hindi,Organic Chemistry beginner Hindi
Data Visualization,data science,intermediate,intermediate,Hindi,Data Visualization intermediate Hindi
Deep Learning,machine learning,advanced,advanced,English,Deep Learning advanced English
Data Visualization,data science,beginner,none,Hindi,Data Visualization beginner Hindi
Modern History,history,beginner,none,English,Modern History beginner English
American Literature,literature,intermediate,advanced,English,American Literature intermediate English
Modern History,history,intermediate,advanced,Hindi,Modern History intermediate Hindi
American Literature,literature,intermediate,basic,Hindi,American Literature intermediate Hindi
Computer Vision,machine learning,advanced,intermediate,Hindi,Computer Vision advanced Hindi
Modern History,history,advanced,intermediate,Hindi,Modern History advanced Hindi
Organic Chemistry,chemistry,intermediate,advanced,Hindi,Organic Chemistry intermediate Hindi
Algebra,math,intermediate,none,English,Algebra intermediate English
World Literature,literature,beginner,none,English,World Literature beginner English
Probability and Statistics,math,beginner,none,English,Probability and Statistics beginner English
Electricity and Magnetism,physics,beginner,intermediate,English,Electricity and Magnetism beginner English
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Organic Chemistry,chemistry,intermediate,basic,Hindi,Organic Chemistry intermediate Hindi
Indian History,history,intermediate,advanced,Hindi,Indian History intermediate Hindi
Ancient History,history,intermediate,basic,Hindi,Ancient History intermediate Hindi
Calculus,math,intermediate,advanced,English,Calculus intermediate English
Inorganic Chemistry,chemistry,advanced,basic,Hindi,Inorganic Chemistry advanced Hindi
JavaScript,programming,beginner,intermediate,English,JavaScript beginner English
Ruby,programming,intermediate,advanced,English,Ruby intermediate English
Number Theory,math,intermediate,basic,Hindi,Number Theory intermediate Hindi
Modern History,history,advanced,intermediate,English,Modern History advanced English
Natural Language Processing,machine learning,beginner,intermediate,English,Natural Language Processing beginner English
Number Theory,math,beginner,basic,English,Number Theory beginner English
Analytical Chemistry,chemistry,intermediate,advanced,Hindi,Analytical Chemistry intermediate Hindi
American Literature,literature,beginner,intermediate,Hindi,American Literature beginner Hindi
Ruby,programming,beginner,basic,English,Ruby beginner English
Geometry,math,advanced,none,English,Geometry advanced English
Electricity and Magnetism,physics,beginner,intermediate,Hindi,Electricity and Magnetism beginner Hindi
JavaScript,programming,intermediate,intermediate,English,JavaScript intermediate English
Computer Vision,machine learning,advanced,none,Hindi,Computer Vision advanced Hindi
Natural Language Processing,machine learning,advanced,none,English,Natural Language Processing advanced English
Organic Chemistry,chemistry,intermediate,none,English,Organic Chemistry intermediate English
Algebra,math,beginner,advanced,English,Algebra beginner English
Machine Learning Basics,machine learning,advanced,intermediate,English,Machine Learning Basics advanced English
Optics,physics,advanced,none,English,Optics advanced English
Medieval History,history,advanced,none,Hindi,Medieval History advanced Hindi
Physical Chemistry,chemistry,intermediate,none,English,Physical Chemistry intermediate English
Thermodynamics,physics,advanced,intermediate,Hindi,Thermodynamics advanced Hindi
English Literature,literature,intermediate,none,English,English Literature intermediate English
World Literature,literature,beginner,intermediate,English,World Literature beginner English
Mechanics,physics,intermediate,intermediate,Hindi,Mechanics intermediate Hindi
Drama,literature,advanced,none,English,Drama advanced English
Mechanics,physics,beginner,none,Hindi,Mechanics beginner Hindi
Number Theory,math,intermediate,advanced,English,Number Theory intermediate English
PHP,programming,intermediate,intermediate,Hindi,PHP intermediate Hindi
Modern Physics,physics,beginner,advanced,English,Modern Physics beginner English
Organic Chemistry,chemistry,beginner,none,Hindi,Organic Chemistry beginner Hindi
PHP,programming,advanced,advanced,Hindi,PHP advanced Hindi
C++,programming,intermediate,advanced,Hindi,C++ intermediate Hindi
Optics,physics,intermediate,basic,English,Optics intermediate English
Indian History,history,beginner,advanced,English,Indian History beginner English
World Wars,history,beginner,none,English,World Wars beginner English
Machine Learning Basics,machine learning,beginner,advanced,English,Machine Learning Basics beginner English
Machine Learning Basics,machine learning,intermediate,none,English,Machine Learning Basics intermediate English
American Literature,literature,intermediate,basic,English,American Literature intermediate English
Indian History,history,intermediate,basic,English,Indian History intermediate English
Physical Chemistry,chemistry,advanced,intermediate,Hindi,Physical Chemistry advanced Hindi
Data Mining,data science,intermediate,advanced,Hindi,Data Mining intermediate Hindi
Geometry,math,advanced,none,Hindi,Geometry advanced Hindi
Analytical Chemistry,chemistry,intermediate,none,Hindi,Analytical Chemistry intermediate Hindi
Calculus,math,advanced,none,Hindi,Calculus advanced Hindi
Calculus,math,intermediate,advanced,English,Calculus intermediate English
Probability and Statistics,math,beginner,basic,English,Probability and Statistics beginner English
Go,programming,advanced,advanced,Hindi,Go advanced Hindi
